paper_id,people_id
airbnb,apostolos
allocation,dana
autopause,shoshana
badging,moshe
badging,jg
baller,cf
baller,ehc
covid,ao
covid,dr
covid,eb
covid,gs
covid,ht
facebook,andrey
facebook,monica
flows,cs
flows,bill_kerr
future,ak
future,as
future,eg
future,jn
future,jz
future,mb
future,ml
grammarly,ev
grammarly,zm
hot_towel,pk
hot_towel,rj
longrun,apostolos
longrun,jg
microscope,sonny
online_laboratory,daverand
online_laboratory,rjz
paid_crowdsourcing,lc
peer_effects,rjz
raters,dlc
raters,aaron
schumpeter,sonny
search_ad_exp,jg
sharing,apostolos
sharing,rjz
spot,dlc
standardization,panos
task,lc
task,rm
task,sa
twitter,apostolos
twitter,elliot
uber_price,dk
uber_price,jvh
WageHistory,moshe
