paper_id,people_id
marginal_ideas,amir_sariri
chaining,mert
chaining,nicole
chaining,brendan
chaining,peyman
spf,anne_hansen
spf,sophia
spf,daniela
spf,ali
synthetic_labs,anand_shah
synthetic_labs,kehang
synthetic_labs,yanchen
synthetic_labs,jeff_wang
synthetic_labs,arif
synthetic_labs,david_parkes
ai_bargaining,crystal
ai_bargaining,kehang
ai_bargaining,ben_manning
ai_bargaining,vivian
ai_bargaining,james_wexler
ai_bargaining,nithum
gsa,ben_manning
cs,andrey
cs,peyman
cs,ben_manning
cs,gili
ass,kehang
ass,ben_manning
llm_ask,apostolos
llm_ask,ben_manning
airbnb,apostolos
allocation,dana
autopause,shoshana
autopause,mitch
badging,moshe
badging,jg
baller,cf
baller,ehc
baller,robert_schultz
covid,ao
covid,dr
covid,eb
covid,gs
covid,ht
facebook,andrey
facebook,monica
flows,cs
flows,bill_kerr
crowdwork,ak
crowdwork,aaron
crowdwork,eg
crowdwork,jn
crowdwork,jz
crowdwork,mb
crowdwork,ml
grammarly,ev
grammarly,zm
hot_towel,pk
hot_towel,rj
longrun,apostolos
longrun,jg
microscope,sonny
online_laboratory,daverand
online_laboratory,rjz
paid_crowdsourcing,lc
peer_effects,rjz
russia,anand_shah
russia,peyman
raters,dlc
raters,aaron
schumpeter,sonny
search_ad_exp,jg
sharing,apostolos
sharing,rjz
spot,dlc
standardization,panos
task,lc
task,rm
task,sa
twitter,apostolos
twitter,elliot
twitter,prasanna
uber_price,dk
uber_price,jvh
WageHistory,moshe
coy,apostolos
coy,diego
coy,prasanna
jobot,ev
head_in_clouds,gl
head_in_clouds,mb
head_in_clouds,jb
head_in_clouds,lc
head_in_clouds,mg
head_in_clouds,rm
head_in_clouds,rn
