id,course_title,institution,role
doctoral,"Doctoral Seminar, Economics of Information Technology",MIT,instructor
15_561,"Foundations of Information Technology",MIT,instructor
15_s17,"Designing, Using and Competing with Online Marketpalces",MIT,instructor
ipds,"Introduction to Programming and Data Science","NYU Stern",instructor
itbs,"Introduction to Technology in Business & Society, NYU Stern","NYU Stern",instructor
ec970,"Tutorial Leader, Harvard College, EC970: “Online Work,” Spring 2010",Harvard,instructor
api_302,"Teaching Fellow, Harvard Kennedy School, API-302: “Analytic Frameworks for Public Policy,” Fall 2007 - 2010",Harvard,TA
api_102,"Teaching Fellow, Harvard Kennedy School, API-102, “Economic Analysis of Public Policy,” Spring 2008",Harvard,TA
math_camp,"Instructor, Harvard Kennedy School, Math Camp for incoming PhD/DBA candidates, Fall 2008",Harvard,instructor
prob,"Instructor, United States Military Academy at West Point, MA206, Probability and Statistics, Summer 2008","West Point",instructor
