title,institution,start,end,url
"Chrysler Professor of Management","MIT Sloan School of Management","August 25, 2025",Present,https://mitsloan.mit.edu/faculty/directory/john-j-horton
"Co-founder","Expected Parrot",2024,Present,https://www.expectedparrot.com
"Consulting Researcher","Microsoft Research New England",2024,Present,https://www.microsoft.com/en-us/research/lab/microsoft-research-new-england/
"Associate Professor (with Tenure)","MIT Sloan School of Management",2023,2025,https://mitsloan.mit.edu/faculty/directory/john-j-horton
"Richard S. Leghorn Career Development Associate Professor","MIT Sloan School of Management",2020,2023,https://mitsloan.mit.edu/faculty/directory/john-j-horton
"Assistant Professor","MIT Sloan School of Management",2019,2020,https://mitsloan.mit.edu/faculty/directory/john-j-horton
"Visiting Economist",Airbnb,"Summer 2016",,https://www.airbnb.com/
"Visiting Economist","Uber Technologies","Summer 2015",,https://www.uber.com/
"Assistant Professor of Information Systems","Stern School of Business, New York University",2013,2019,https://www.stern.nyu.edu/
"Staff Economist","oDesk Corporation",2011,2013,https://www.upwork.com/
"Research Intern","London School of Economics, Centre for Economic Performance","Summer 2010",,https://www.lse.ac.uk/economics/research/research-centres
"Resident Tutor","Pforzheimer House, Harvard College",2007,2011,https://pfoho.harvard.edu/
"Tank Platoon Leader and Executive Officer","US Army",2001,2006,https://www.army.mil/
