paper_id,abstract,source_url
ass,"We present an approach for automatically generating and testing, in silico, social scientific hypotheses. This automation is made possible by recent advances in large language models (LLM), but the key feature of the approach is the use of structural causal models. Structural causal models provide a language to state hypotheses, a blueprint for constructing LLM-based agents, an experimental design, and a plan for data analysis. The fitted structural causal model becomes an object available for prediction or the planning of follow-on experiments. We demonstrate the approach with several scenarios: a negotiation, a bail hearing, a job interview, and an auction. In each case, causal relationships are both proposed and tested by the system, finding evidence for some and not others. We provide evidence that the insights from these simulations of social interactions are not available to the LLM purely through direct elicitation. When given its proposed structural causal model for each scenario, the LLM is good at predicting the signs of estimated effects, but it cannot reliably predict the magnitudes of those estimates. In the auction experiment, the in silico simulation results closely match the predictions of auction theory, but elicited predictions of the clearing prices from the LLM are inaccurate. However, the LLM's predictions are dramatically improved if the model can condition on the fitted structural causal model. In short, the LLM knows more than it can (immediately) tell.",https://openalex.org/W4394973191
schumpeter,"For managers, we show that opportunities for skill development strongly influence matching in online information technology (IT) markets. Employers cannot easily circumvent labor scarcity by adopting older technologies, as workers avoid projects with declining future skill value absent substantial wage premiums. However, older workers, having shorter career horizons, are less sensitive to declining skill value, suggesting potential benefits in matching them with legacy technologies. For policy makers, our research demonstrates that labor market tightness persists across both new and old technologies in online IT markets. This challenges the notion that employers can engage in labor arbitrage by avoiding cutting-edge technologies. Policy frameworks therefore need flexibility to address skill shortages wherever they emerge. Additionally, our findings highlight the need for more granular data collection on technical skill evolution beyond broad occupational categories. Our online context provides unique insights into how corporate decisions about technology standards cascade into labor markets. The findings underscore the importance of policies promoting continuous learning and adaptability, while suggesting that age-diverse hiring practices could help address both skill shortages and age discrimination concerns in technical fields.",https://openalex.org/W4408589258
grammarly,"There is a strong association between the quality of the writing in a resume for new labor market entrants and whether those entrants are ultimately hired. We show that this relationship is, at least partially, causal: a field experiment in an online labor market was conducted with nearly half a million jobseekers in which a treated group received algorithmic writing assistance. Treated jobseekers experienced an 8% increase in the probability of getting hired. Contrary to concerns that the assistance is taking away a valuable signal, we find no evidence that employers were less satisfied. We present a model in which better writing is not a signal of ability but helps employers ascertain ability, which rationalizes our findings.",https://openalex.org/W4317671302
airbnb,"Peer-to-peer rental markets for short-term accommodation enable ""hosts"" to rent out properties to ""guests."" A common critique of such markets is that hosts benefit at the expense of their unwitting neighbors on whom they impose costs, potentially creating a market failure that justifies policy intervention. In this paper we examine four policy regimes that differ in the allocation of the decision right to become a host. We consider the market outcomes when hosting decisions are made by (1) individual tenants that maximize their revenue, (2) building owners that consider only rents from long-term rentals, (3) cities that consider the surplus of all city residents, and (4) a social planner that takes into account the surplus of both city residents and guests. We find that the equilibrium where tenants are allowed to individually decide has too much hosting, whereas city-specific policies result in too little hosting. The efficient social planner's solution is equivalent to the equilibrium where building owners decide. We conclude with a discussion of our results and lay out directions for future research.",https://openalex.org/W2669397693
baller,"For some types of goods, rarity itself is valued: items considered “fashionable” are demanded in part because they are unique. In this paper, we explore the economics of rare goods using auctions of limited-edition shoes held by an e-commerce platform. We model endogenous entry and bidding in multiunit auctions and construct demand curves from realized bids. We find that doubling inventory reduces willingness to pay by 8%–15%. From the monopolist’s perspective, ignoring the value of rarity leads to substantial overproduction: Auctioned quantities are 88% above the profit-maximizing level. From the consumers’ perspective, however, the negative spillovers from quantity restriction more than offset the benefits of rarer goods. This paper was accepted by Omar Besbes, revenue management and market analytics. Supplemental Material: The online appendices and data files are available at https://doi.org/10.1287/mnsc.2024.04995 .",https://openalex.org/W4413509081
facebook,"We study how information that may simultaneously signal the degree of competition and vacancy quality affects job search. To do so, we conduct three experiments on a large online job platform in which the treatment varies what information is shown to job seekers. Information about the number of prior applicants to a vacancy increases the number of applications and redirects them to vacancies with few prior applications. Information about vacancy age increases application rates, especially to new vacancies. To further investigate the causal mechanisms, we conduct and analyze a survey choice experiment. We conclude that job seekers prefer to avoid competition rather than using the popularity of a vacancy as a signal of quality.",https://openalex.org/W3157772606
twitter,"We model social media as collections of users producing and consuming content. Users value consuming content but due to scarce attention they may not value all content from other users. Users also value receiving attention, creating the incentive to attract an audience by producing valuable content but also through attention bartering—users mutually becoming each others’ audience. Attention bartering shapes substantially the patterns of production and consumption on social media, explains key features of social media behavior and platform decision-making, and yields sharp predictions that are consistent with data we collect from #EconTwitter. We conduct Twitter and Instagram user surveys that yield additional direct evidence in support of attention bartering, and we discuss the implications of attention bartering for the design of social media platforms.",https://openalex.org/W3162790745
coy,"Buyers pursuing unavailable sellers is a common source of inefficiency in matching markets. We report the results of a field experiment in a large online marketplace where sellers could pay to signal higher capacity via a badge that simply said ""available now."" All sellers could rent this signal but only randomly treated buyers could see it. We find that sellers who rented this signal were positively selected, treated buyers sought them out more, and as a result matching efficiency increased. We discuss why costly signaling is necessary to facilitate this coordination, and show that mere statements about seller capacity had become uninformative in this marketplace. Two years after the experiment, we show that sellers renting this signal continue receiving substantially higher buyer attention. The full version of the paper can be accessed at https://apostolos-filippas.com/papers/costly-capacity-signalling.pdf.",https://openalex.org/W4405464876
allocation,"This paper reports the results of a natural field experiment where workers from a paid crowdsourcing environment selfselect into tasks and are presumed to have limited attention. In our experiment, workers labeled any of six pictures from a 2 × 3 grid of thumbnail images. In the absence of any incentives, workers exhibit a strong default bias and tend to select images from the top-left (focal) position; the bottomright (non-focal) position, was the least preferred. We attempted to overcome this bias and increase the rate at which workers selected the least preferred task, by using a combination of monetary and non-monetary incentives. We also varied the saliency of these incentives by placing them in either the focal or non-focal position. Although both types caused workers to re-allocate their labor, monetary incentives were more effective. Most interestingly, both types worked better when they were placed in the focal position and made more salient. In fact, salient non-monetary incentives worked about as well as non-salient monetary ones. Our evidence suggests that user interface and cognitive biases play an important role in online labor markets and that salience can be used by employers as a kind of incentive multiplier.",https://openalex.org/W2187789498
covid,"We report the results of a nationally-representative sample of the US population during the COVID-19 pandemic. The survey ran in two waves from April 1-5, 2020 and May 2-8, 2020. Of those employed pre-COVID-19, we find that about half are now working from home, including 35.2% who report they were commuting and recently switched to working from home. In addition, 10.1% report being laid-off or furloughed since the start of COVID-19. There is a strong negative relationship between the fraction in a state still commuting to work and the fraction working from home. We find that the share of people switching to remote work can be predicted by the incidence of COVID-19 and that younger people were more likely to switch to remote work. Furthermore, states with a higher share of employment in information work including management, professional and related occupations were more likely to shift toward working from home and had fewer people laid off or furloughed. We find no substantial change in results between the two waves, suggesting that most changes to remote work manifested by early April.",https://openalex.org/W3171793363
russia,"The sharp devaluation of the ruble in 2014 increased the real returns to Russians from working in a global online labor marketplace, as con- tracts in this market are dollar-denominated. Russians clearly noticed the opportunity, with Russian hours-worked increasing substantially, primarily on the extensive margin -- incumbent Russians already active were fairly inelastic. Contrary to the predictions of bargaining models, there was little to no pass-through of the ruble price changes in to wages. There was also no evidence of a demand-side response, with buyers not posting more ""Russian friendly"" jobs, suggesting limited cross-side externalities. The key findings -- a high extensive margin elasticity but low intensive margin elasticity; little pass-through into wages; and little evidence of a cross-side externality -- have implications for market designers with respect to pricing and supply acquisition.",https://openalex.org/W3176892815
badging,"Platform marketplaces can potentially steer buyers to certain sellers by recommending or guaranteeing those sellers. Money-back guarantees—which create a direct financial stake for the platform in seller performance—might be particularly effective at steering, as they align buyer and platform interests in creating a good match. We report the results of an experiment in which a platform marketplace—an online labor market—guaranteed select sellers for treated buyers. The presence of a guarantee strongly steered buyers to these guaranteed sellers, but offering guarantees did not increase sales overall, suggesting financial risk was not determinative for the marginal buyer. This preference for guaranteed sellers was not the result of their lower financial risk, but rather because buyers viewed the platform’s decision to guarantee as informative about relative seller quality. Indeed, a follow-up experiment showed that simply recommending the sellers that the platform would have guaranteed was equally effective at steering buyers.",https://openalex.org/W3136700447
crowdwork,"Paid crowd work offers remarkable opportunities for improving productivity, social mobility, and the global economy by engaging a geographically distributed workforce to complete complex tasks on demand and at scale. But it is also possible that crowd work will fail to achieve its potential, focusing on assembly-line piecework. Can we foresee a future crowd workplace in which we would want our children to participate? This paper frames the major challenges that stand in the way of this goal. Drawing on theory from organizational behavior and distributed computing, as well as direct feedback from workers, we outline a framework that will enable crowd work that is complex, collaborative, and sustainable. The framework lays out research challenges in twelve major areas: workflow, task assignment, hierarchy, real-time response, synchronous collaboration, quality control, crowds guiding AIs, AIs guiding crowds, platforms, job design, reputation, and motivation.",https://openalex.org/W2146286563
flows,"Digital labor markets are rapidly expanding and connecting companies and contractors on a global basis. We review the environment in which these markets take root, the micro- and macro-level studies of their operations, their ongoing evolution and recent trends, and perspectives for undertaking research with micro-data from these labor platforms. We undertake new empirical analyses of Upwork data regarding 1) the alignment of micro- and macro-level approaches to disproportionate ethnic-connected exchanges on digital platforms, 2) gravity model analyses of global outsourcing contract flows and their determinants for digital labor markets, and 3) quantification of own- and cross-country elasticities for contract work by wage rate. Digital labor markets are an exciting frontier for global talent flows and growing rapidly in importance.",https://openalex.org/W2560673792
microscope,"This article describes how the fine-grained data being collected by Internet labor market intermediaries, such as employment websites, online labor markets, and knowledge discussion boards, are providing new research opportunities and directions for the empirical analysis of labor market activity. After discussing these data sources, we examine some of the research opportunities they have created, highlight some examples of existing work that already use these new data sources, and enumerate the challenges associated with the use of these corporate data sources.",https://openalex.org/W1919900543
online_laboratory,"Abstract Online labor markets have great potential as platforms for conducting experiments. They provide immediate access to a large and diverse subject pool, and allow researchers to control the experimental context. Online experiments, we show, can be just as valid—both internally and externally—as laboratory and field experiments, while often requiring far less money and time to design and conduct. To demonstrate their value, we use an online labor market to replicate three classic experiments. The first finds quantitative agreement between levels of cooperation in a prisoner's dilemma played online and in the physical laboratory. The second shows— consistent with behavior in the traditional laboratory—that online subjects respond to priming by altering their choices. The third demonstrates that when an identical decision is framed differently, individuals reverse their choice, thus replicating a famed Tversky-Kahneman result. Then we conduct a field experiment showing that workers have upward-sloping labor supply curves. Finally, we analyze the challenges to online experiments, proposing methods to cope with the unique threats to validity in an online setting, and examining the conceptual issues surrounding the external validity of online results. We conclude by presenting our views on the potential role that online experiments can play within the social sciences, and then recommend software development priorities and best practices.",https://openalex.org/W2890741256
