paper_id,author_ids
marginal_ideas,amir_sariri;john
chaining,mert;john;nicole;brendan;peyman
spf,anne_hansen;john;sophia;daniela;ali
synthetic_labs,anand_shah;kehang;yanchen;jeff_wang;arif;john;david_parkes
ai_bargaining,crystal;kehang;john;ben_manning;vivian;james_wexler;nithum
jobot,ev;john
cs,peyman;gili;ben_manning;andrey;john
gsa,ben_manning;john
ass,ben_manning;kehang;john
llm_ask,apostolos;john;ben_manning
schumpeter,john;sonny
grammarly,ev;zm;john
minimum_wage,john
autopause,john;shoshana;mitch
airbnb,apostolos;john
baller,ehc;cf;john;robert_schultz
facebook,andrey;monica;john
twitter,apostolos;john;elliot;prasanna
coy,apostolos;john;prasanna;diego
hot_towel,john;pk;rj
uber_price,jvh;john;dk
employer_search,john
allocation,dana;john
covid,eb;john;ao;dr;gs;ht
peer_effects,john;rjz
russia,john;anand_shah;peyman
badging,moshe;jg;john
crowdwork,ak;jn;mb;eg;aaron;jz;ml;john
flows,john;bill_kerr;cs
fruitfly,john
head_in_clouds,rm;gl;mb;jb;lc;mg;john;rn
longrun,apostolos;john;jg
microscope,john;sonny
olm,john
online_laboratory,john;daverand;rjz
paid_crowdsourcing,john;lc
raters,aaron;john;dlc
scs,john
search_ad_exp,jg;john
sharing,apostolos;john;rjz
spot,dlc;john
standardization,john;panos
task,lc;john;rm;sa
turking,john
WageHistory,moshe;john
