paper_id,topic,selected
marginal_ideas,Entrepreneurship,1
chaining,AI & Work,1
spf,AI & Methods,1
synthetic_labs,AI & Methods,1
ai_bargaining,AI & Markets,1
jobot,AI & Work,1
cs,AI & Markets,1
gsa,AI & Methods,1
ass,AI & Methods,1
llm_ask,AI & Methods,1
schumpeter,Technology & Work,1
grammarly,AI & Work,1
minimum_wage,Labor Markets,1
autopause,Market Design,1
airbnb,Platforms,0
baller,Digital Markets,1
facebook,Digital Markets,1
twitter,Digital Markets,1
coy,Market Design,1
hot_towel,Market Design,1
uber_price,Platforms,1
employer_search,Labor Markets,1
allocation,Online Work,0
covid,Technology & Work,0
peer_effects,Online Work,0
russia,Market Design,1
badging,Platforms,1
crowdwork,Online Work,0
flows,Online Work,0
fruitfly,AI & Methods,0
head_in_clouds,Online Work,0
longrun,Platforms,1
microscope,AI & Methods,0
olm,Online Work,0
online_laboratory,AI & Methods,1
paid_crowdsourcing,Online Work,0
raters,AI & Methods,0
scs,Market Design,1
search_ad_exp,Digital Markets,1
sharing,Platforms,1
spot,Online Work,0
standardization,Online Work,0
task,Online Work,0
turking,Online Work,0
WageHistory,Labor Markets,1
