paper_id,last_updated
marginal_ideas,2026-05-06
chaining,2026-06
spf,2024-12
synthetic_labs,2025-07
ai_bargaining,2026-03
jobot,2025
cs,2026-08
gsa,2026
ass,2026-07
llm_ask,2026-02
schumpeter,2025-09
grammarly,2025-12
minimum_wage,2025-01-01
autopause,2024
airbnb,2017-06-26
baller,2026-04
facebook,2026-02
twitter,2026-07
coy,2026
hot_towel,2024-03
uber_price,2023-01
employer_search,2017-04
allocation,2011-08-08
covid,2020-06
peer_effects,2016-07
russia,2021-04
badging,2020-09
crowdwork,2013-02-23
flows,2018
fruitfly,2012
head_in_clouds,2010-12
longrun,2022-07
microscope,2015-09-01
olm,2010-12
online_laboratory,2011-09
paid_crowdsourcing,2010-06-07
raters,2011-03-19
scs,2019-08
search_ad_exp,2021-01
sharing,2020-09
spot,2016-06
standardization,2011-05
task,2010-07-25
turking,2011-04
WageHistory,2021-01-02
