first,last,id,url
Amir,Sariri,amir_sariri,https://amirsariri.com/
Robert,Schultz,robert_schultz,https://equitablegrowth.org/people/robert-schultz/
Mert,Demirer,mert,https://www.mertdemirer.com/
Nicole,Immorlica,nicole,https://www.microsoft.com/en-us/research/people/nicimm
Brendan,Lucier,brendan,https://www.microsoft.com/en-us/research/people/brlucier/
Anne Lundgaard,Hansen,anne_hansen,https://www.richmondfed.org/banking/research_analysis/qsr/hansen
Sophia,Kazinnik,sophia,https://digitaleconomy.stanford.edu/people/sophia-kazinnik/
Daniela,Puzzello,daniela,https://economics.indiana.edu/about/faculty/puzzello-daniela.html
Ali,Zarifhonarvar,ali,https://alizarif.github.io/
Anand,Shah,anand_shah,https://avshah1.github.io/
Yanchen,Jiang,yanchen,https://yanchenjiang.github.io/
Jeffrey G.,Wang,jeff_wang,
Arif K.,Dayi,arif,https://keremdayi.com/
David C.,Parkes,david_parkes,https://parkes.seas.harvard.edu/
Crystal,Qian,crystal,https://research.google/people/108114/
Vivian,Tsai,vivian,
James,Wexler,james_wexler,
Nithum,Thain,nithum,https://research.google/people/105662/
Gili,Rusak,gili,https://gilirusak.github.io/
Peyman,Shahidi,peyman,https://peymanshahidi.github.io/
Kehang,Zhu,kehang,https://scholar.harvard.edu/kehang/home
Benjamin,Manning,ben_manning,https://www.benjaminmanning.com/
Ajay,Agrawal,aa,https://www.rotman.utoronto.ca/FacultyAndResearch/Faculty/FacultyBios/Agrawal
Aaron,Shaw,aaron,http://aaronshaw.org/
Aniket,Kittur,ak,https://www.hcii.cmu.edu/people/aniket-kittur
Andrey,Fradkin,andrey,https://andreyfradkin.com/
Adam,Ozimek,ao,http://adamozimek.com/
Apostolos,Filippas,apostolos,https://www.apostolos-filippas.com/
William,Kerr,bill_kerr,https://www.hbs.edu/faculty/Pages/profile.aspx?facId=337265
Chiara,Farronato,cf,https://www.hbs.edu/faculty/Pages/profile.aspx?facId=775022
Christopher,Stanton,cs,https://www.hbs.edu/faculty/Pages/profile.aspx?facId=602452
Dana,Chandler,dana,https://www.linkedin.com/in/danachandler1/
David,Rand,daverand,https://mitsloan.mit.edu/faculty/directory/david-g-rand
Dan,Knoepfle,dk,https://www.linkedin.com/in/daniel-knoepfle
Daniel,Chen,dlc,https://www.tse-fr.eu/people/daniel-l-chen
Daniel,Rock,dr,https://oid.wharton.upenn.edu/profile/rockdi/
Erik,Brynjolfsson,eb,https://www.brynjolfsson.com/
Elizabeth,Gerber,eg,https://www.mccormick.northwestern.edu/research-faculty/directory/profiles/gerber-elizabeth.html
"El Hadi",Caoui,ehc,https://elhadicaoui.github.io/
Elizabeth,Lyons,el,https://gps.ucsd.edu/faculty-directory/elizabeth-lyons.html
Elliot,Lipnowski,elliot,https://elliotlipnowski.com/
Emma,Wiles,ev,https://www.emmawiles.com/
Greg,Little,gl,
Garima,Sharma,gs,https://economics.mit.edu/people/phd-students/garima-sharma
Hong-Yi,TuYe,ht,https://www.linkedin.com/in/hytuye
Jeffrey,Bigham,jb,https://www.cs.cmu.edu/~jbigham/
Joseph,Golden,jg,https://www.linkedin.com/in/jgolden9
Jeffrey,Nickerson,jn,https://www.stevens.edu/profile/jnickers
Jonathan,Hall,jvh,https://www.linkedin.com/in/jonathan-hall-451b552
John,Zimmerman,jz,https://hcii.cmu.edu/people/john-zimmerman
Lydia,Chilton,lc,https://scholar.google.com/citations?user=RpxD-7QAAAAJ&hl=en
Michael,Bernstein,mb,https://profiles.stanford.edu/michael-bernstein
Max,Goldman,mg,http://web.mit.edu/maxg/
Matt,Lease,ml,https://www.ischool.utexas.edu/~ml/
Monica,Bhole,monica,https://www.linkedin.com/in/mdbhole/
Moshe,Barach,moshe,https://experts.umn.edu/en/persons/moshe-barach/
Nicola,Lacetera,nl,https://www.rotman.utoronto.ca/FacultyAndResearch/Faculty/FacultyBios/Lacetera
Panos,Ipeirotis,panos,https://ipeirotis.org/
Philipp,Kircher,pk,https://philippkircher.com/
Ramesh,Johari,rj,http://web.stanford.edu/~rjohari/
Richard,Zeckhauser,rjz,https://www.hks.harvard.edu/faculty/richard-zeckhauser
Robert,Miller,rm,https://people.csail.mit.edu/rcm/
Rajeev,Nayak,rn,
Shiri,Azenkot,sa,https://tech.cornell.edu/people/shiri-azenkot/
Shoshana,Vasserman,shoshana,https://shoshanavasserman.com/
Prasanna,Tambe,sonny,https://oid.wharton.upenn.edu/profile/tambe/
Zanele,Munyikwa,zm,https://www.zanelemunyikwa.com/
Mitchell,Watt,mitch,https://www.mitchellwatt.com/
Diego,Urraca,diego,
Prasanna,Parasurama,prasanna,https://parasurama.github.io/
