event,year,type,url
"NBER Summer Institute, Economic Fluctuations and Growth",2026,"conference presentation",https://conference.nber.org/agenda/simple_printable?conf_id=SI26EFFE
"Business Implications of AI at MIT",2026,"conference presentation",https://ide.mit.edu/events/2026-the-business-implications-of-generative-ai-mit-big-aimit/
"American Economic Association Annual Meeting",2026,"conference presentation",https://www.aeaweb.org/conference/2026/download/ASSA_2026_by_association
"ACM Conference on Economics and Computation",2026,"conference presentation",https://ec26.sigecom.org/program/accepted-papers/
"CEPR Economics of AI Webinar",2025,"invited seminar",https://cepr.org/events/event-series/cepr-webinar-series-economics-artificial-intelligence
"Google DeepMind / Economics Seminar",2025,"invited seminar",
"Northwestern - Kellogg",2025,"invited seminar",https://www.kellogg.northwestern.edu/academics-research/events/ryan-institute/5-20-25-horton/
"Microsoft Applied Science Seminar series",2025,"invited seminar",
"HBS Technology, Operations and Management Seminar",2025,"invited seminar",
"Stanford Digital Economy Lab - Invited Seminar",2024,"invited seminar",https://digitaleconomy.stanford.edu/event/john-horton-automated-social-science-language-models-as-scientist-and-subjects/
"Harvard EconCS Seminar",2024,"invited seminar",https://econcs.seas.harvard.edu/seminar-schedule-spring-2024
"CMU Workforce and Technology Mini-Conference",2024,talk,https://www.cmu.edu/block-center/news-events/building-resilient-workforces
"Behavioral Approaches to Financial Decision Making Conference",2024,talk,
"UC Berkeley - Econ Seminar",2024,"invited seminar",
"ACM-EC 2024",2024,talk,https://sigecom.org/proceedings24.html
"NBER Summer Institute, Economics of IT and Digitization",2024,talk,https://www.nber.org/conferences/si-2024-digital-economics-and-artificial-intelligence
"Strategy Group, Harvard Business School ",2024,"invited seminar",
"Paris Economics of Digitization seminar (remote)",2024,"invited seminar",
"Stanford GSB - Marketing",2024,"invited seminar",
"Workshop on the Economics of Social Media, SSRC",2023,talk,https://www.ssrc.org/programs/digital-platforms-initiative/2023-ssrc-workshop-on-the-economics-of-social-media/
"NBER Summer Institute - Personnel Economics",2023,talk,https://www.nber.org/conferences/si-2023-personnel-economics
"NBER Summer Institute - Industrial Organization & Digitization",2023,talk,https://www.nber.org/conferences/summer-institute-2023
"SERC Panel at MIT",2023,panel,
"Paris Economics of Digitization seminar (invited but declined for health reasons)",2023,"invited seminar",
"Walmart Economics Team",2023,"invited seminar",
"LinkedIn - Tech Talk",2023,"invited seminar",
"Yale Economics - Labor and Public Seminar (invited)",2023,"invited seminar",
"Microsoft Research New England - EconCS Seminar",2023,"invited seminar",
"University of Nottingham - Centre for Decision Research and Experimental Economics",2023,"invited seminar",https://www.nottingham.ac.uk/cedex/events/2022/john-horton.aspx
"Tsinghua-HKUST DEEP Seminar",2023,"invited seminar",
"Hong Kong University",2023,"invited seminar",https://www.hkubs.hku.hk/event/large-language-models-as-simulated-economic-agents-what-can-we-learn-from-homo-silicus/
"Workshop on Information Systems and Economics (2 papers)",2022,,https://sites.temple.edu/wise2022/
"Singapore Management University",2022,,https://economics.smu.edu.sg/seminar-series/2022-2023-T1
"Toronto Rotman Strategy Seminar",2022,"invited seminar",
"Boston University - Information Systems",2022,"invited seminar",
Purdue,2022,"invited seminar",
"UC Irvine",2022,"invited seminar",
"Keynote Address, 2021 Conference on AI, ML and Business Analytics",2021,keynote,https://www.fox.temple.edu/institutes-centers/global-center-for-big-data-and-mobile-analytics/conferences/2021-conference-on-artificial-intelligence-machine-learning-and-business-analytics
"GMU Economics Seminar",2021,"invited seminar",
"UMD Economics Seminar",2021,"invited seminar",
"Council of Economic Advisors",2021,"invited seminar",
"University of Bocconi",2021,"invited seminar",
"Frankfurt School of Finance and Management",2021,"invited seminar",
"University of Mannheim",2021,"invited seminar",
"Columbia Business School, Management Dept.",2021,"invited seminar",
"CESifo panel, ""Firm-Academic Research Collaborations in Economics""",2021,panel,https://www.ifo.de/sites/default/files/2022-06/JB-2021-b.pdf
"Keynote Address, 3rd Crowdworking Symposium",2021,keynote,https://www.uni-bremen.de/en/wiwi/news/details/3rd-crowdworking-symposium
"Digital Economics Seminar (video)",2021,"invited seminar",https://www.digitalecon.org/seminar/spring-2021
"Toulouse Seminar in Platform Economics",2021,"invited seminar",https://www.tse-fr.eu/talks-2020-2023-academic-year
"NBER Labor Studies Meeting",2021,"conference talk",https://www.nber.org/conferences/si-2021-labor-studies
"MIT Org econ Seminar (remote)",2020,"invited seminar",
"MIT Sloan, TIES Group (remote)",2020,"invited seminar",
"Washington University in St. Louis - Olin Business School (remote)",2020,"invited seminar",
"CMU Heinz School",2020,"invited seminar",
"University of Chicago, Booth School of Business",2019,"invited seminar",
"Stanford University Economics Dept. Labor Seminar",2019,"invited seminar",
"Temple University, Big Data & Mobile Analytics Workshop",2018,"invited seminar",
"Keynote speaker, IZA Workshop on 'Matching Workers and Jobs Online'",2018,keynote,https://conference.iza.org/DATA_2018/viewProgram?conf_id=3146
"Society of Labor Economists Annual Meeting (Toronto)",2018,"conference talk",https://www.sole-jole.org/2018FullProgram
"Kellogg School at Northwestern (invited seminar; declined for health reasons (broken foot))",2018,"invited seminar",
"Booth School, University of Chicago (invited seminar; declined for scheduling reasons)",2018,"invited seminar",
"Princeton CITP (invited seminar)",2018,"invited seminar",
"Columbia Business School (invited seminar; declined - health)",2018,"invited seminar",
"16th ZEW Conference on Economics of Information & Communications Technology",2018,"conference talk",https://www.zew.de/en/events-and-professional-training/detail/16th-zew-conference-on-the-economics-of-information-and-communication-technologies/2452
"NBER Summer Institute (3 papers - 2 at IT & Digitization, 1 at Labor Studies)",2018,"conference talk",https://www.nber.org/conferences/summer-institute-2018
"MIT Economics Dept (invited seminar)",2018,"invited seminar",
"Stanford SIEPR (invited seminar; declined due to scheduling reasons)",2018,"invited seminar",
"AEA Annual Meeting (two papers)",2018,"conference talk",https://www.aeaweb.org/conference/2018
"Workshop at MIT on AI, Cities and the Future of Work",2017,"conference talk",
"""Field Days"" at University of Copenhagen",2017,"conference talk",
"Advances in Field Experiments, University of Chicago",2017,"conference talk",
"Platform Strategy at BU",2017,"conference talk",
"15th ZEW Conference on Economics of Information & Communications Technology",2017,"conference talk",https://www.zew.de/en/events-and-professional-training/detail/15th-zew-conference-on-the-economics-of-information-and-communication-technologies/2185
"NBER Summer Institute (Economics of Digitization - 2 papers)",2017,"conference talk",https://www.nber.org/conferences/si-2017-it-and-digitization
"Federal Communications Commission (turned down)",2017,"invited seminar",
"ASU Information Systems Workshop",2017,"conference talk",
"Temple University",2017,"invited seminar",
"HBS Entrepreneurial Management Unit",2017,"invited seminar",
"AEA Annual Meeting, ""Inequality in the Evolving Labor Market""",2017,"conference talk",https://www.aeaweb.org/conference/2017/preliminary/1441?page=6&per-page=50
"Speaker, Collective Intelligence, NYU Stern",2016,"conference talk",
"Sharing Economy Symposium, Keynote Speaker, University of Minnesota",2016,"conference talk",https://www.cts.umn.edu/events/cts-other/symposium-sharing-economy
"SOLE/EALE Conference, Seattle",2016,"conference talk",https://www.sole-jole.org/2016ProgramOutline
"Creativity and Innovation Research Initiative (CIRI), NYU Stern",2016,"invited seminar",
"The On-Demand Economy Conference, MIT Sloan",2016,panel,https://www.aspeninstitute.org/events/mit-roundtable-demand-economy/
"Frontiers in Digital Data, HBS",2016,"invited seminar",
"AEA Annual Meeting, Organizer: “The Economics of Peer-to-Peer Markets”",2016,"conference talk",https://www.aeaweb.org/conference/2016/preliminary.php?search=Search&search_string=replication&search_type=session
"WIN Conference (conference presentation)",2015,"conference talk",
"INFORMS, “Empirical Market Design”",2015,"conference talk",
"NBER Productivity & Innovation",2015,"invited seminar",
"CMU, Tepper School of Business, Business and Technology, Bus. & Society",2015,"invited seminar",
"eBay Research",2015,"invited seminar",
"Facebook Data Science",2015,"invited seminar",
"Uber Technologies",2015,"invited seminar",
"NBER Summer Institute, Economics of IT and Digitization",2015,"conference talk",https://www.nber.org/conferences/si-2015-economics-it-and-digitization-workshop
"ACM Conference on Economics and Computation, Portland",2015,"conference talk",https://doi.org/10.1145/2764468
"SOLE/EALE Conference, Montreal",2015,"conference talk",https://www.sole-jole.org/2015CompleteProgram
"13th ZEW Conference on the Economics of Information & Communications Technology",2015,"conference talk",https://www.zew.de/en/events-and-professional-training/detail/13th-zew-conference-on-the-economics-of-information-and-communication-technologies/695
"Chapman University, ESI/IFREE Lecture",2015,"invited seminar",
"CODE (Conference on Digital Experimentation)",2015,"conference talk",
"Microsoft Research, NYC",2015,"invited seminar",
"Texas A&M - MEER Conference",2015,"conference talk",
"Carnegie Mellon University, School of Computing",2015,"invited seminar",
"Texas A&M University, Economics Dept, Economic Theory & Experimentation Seminar",2015,"invited seminar",
"UMN, Carlson School of Management, Work & Organizations Dept. Seminar",2015,"invited seminar",
"AEA Annual Meeting, “Empirical Market Design”",2015,"conference talk",https://www.aeaweb.org/aea/2015conference/program/preliminary.php
"MIT Sloan, Operations Management Seminar",2014,"invited seminar",
"NBER Summer Institute 2014, Economics of IT and Digitization",2014,"conference talk",https://www.nber.org/conferences/si-2014-economics-it-and-digitization-workshop
"University of Chicago, Harris School, Public Policy and Economics Seminar",2014,"invited seminar",
"University of Nuremberg",2014,"invited seminar",
"Xiamen University, International Symposium on Contemporary Labor Economics",2013,"conference talk",
"INSEAD, Technology and Operations Management Seminar",2013,"invited seminar",
"MIT Roundtable on the Digital Economy",2013,"keynote ",
"SOLE Annual Meeting",2013,"conference talk",https://www.sole-jole.org/2013Program
"The Bernard L. Schwartz Globalization Initiative at SAIS Distinguished Lecture Series, Johns Hopkins University, November 2012",2012,"conference talk",
"Experimental Economics Lunch Seminar, University of Chicago",2011,"invited seminar",
"Networked Business Seminar, Harvard Business School",2011,"invited seminar",
"Neural Information Processing Systems (NIPS) 24th Annual Conference, Vancouver, British Columbia, Invited Speaker on “Social Science and the Wisdom of Crowds,” December 2010",2010,"conference talk",https://media.nips.cc/Conferences/2010/NIPS-2010-Workshop-Book.pdf
"The 6th Workshop on Internet and Network Economics (WINE 2010), Stanford University",2010,"conference talk",https://doi.org/10.1007/978-3-642-17572-5_45
