paper_id,topic,url
marginal_ideas,"Amir Sariri at the 2026 NBER Summer Institute Entrepreneurship workshop",https://www.youtube.com/watch?v=3_exm-tsQ_4&t=20818s
cs,"2025 NBER Economics of Transformative AI Workshop",https://www.youtube.com/watch?v=9VJ4oFWk1SE
ass,"Stanford Digital Economy Lab",https://www.youtube.com/watch?v=fr_zUWaKDF8
longrun,,https://www.youtube.com/watch?v=s1Nb_iw1Uqw
twitter,,https://youtu.be/HsnbHy9FQek
employer_search,"Improving Matching in Crowdsourcing Markets",https://youtu.be/kMDflFAkwuc
longrun,,https://www.youtube.com/watch?v=Ezz1LR3Wpnw
,"Frontiers in crowdsourcing",https://www.youtube.com/watch?v=5frdmsdj0-o
uber_price,,https://www.youtube.com/watch?v=lJ3wbGIKaK4
,"GOI Event",https://youtu.be/uGCtP9gRq1I
minimum_wage,,https://www.youtube.com/watch?v=Bkxobfkrfps
search_ad_exp,,https://www.youtube.com/watch?v=sX7u5i9UXRM
hot_towel,,https://youtu.be/pAeJ8bFhc6w
airbnb,ACM-EC,https://www.youtube.com/watch?v=Mp02sfw4Nhc
llm_ask,,https://youtu.be/cMWUnQdPM9A
,"MIT IDE ",https://youtu.be/IXiZPC6nQSw
