paper_id,topic,url
longun,,https://www.youtube.com/watch?v=s1Nb_iw1Uqw
twitter,,https://youtu.be/HsnbHy9FQek
,,https://youtu.be/kMDflFAkwuc
longrun,,https://www.youtube.com/watch?v=Ezz1LR3Wpnw
,Frontiers in crowdsourcing,https://www.youtube.com/watch?v=5frdmsdj0-o
uber_price,,https://www.youtube.com/watch?v=lJ3wbGIKaK4
,GOI Event,https://youtu.be/uGCtP9gRq1I
minimum_wage,,https://www.youtube.com/watch?v=Bkxobfkrfps
search_ad_exper,,https://www.youtube.com/watch?v=sX7u5i9UXRM
hot_towel,,https://youtu.be/pAeJ8bFhc6w
airbnb,ACM-EC,https://www.youtube.com/watch?v=Mp02sfw4Nhc
